date;data_mean_global;data_mean_nh;data_mean_sh
1707-05-15;278.326704129795;279.833753956472;276.819654303119
1707-06-15;277.59196236136;278.317364935997;276.866559786723
1707-07-15;275.950196807256;275.034104413646;276.866289200866
1707-08-15;274.345492328738;271.971440135056;276.71954452242
1707-09-15;274.303454115394;272.067016858224;276.539891372564
1707-10-15;275.337741661068;274.173621468005;276.501861854131
1707-11-15;276.339311047806;276.049881298646;276.628740796967
1707-12-15;276.973191577208;277.289373466044;276.657009688372
1708-01-15;277.429885948652;278.109105891981;276.750666005323
1708-02-15;277.808863143768;278.761203377854;276.856522909681
1708-03-15;278.146511999731;279.399455654293;276.89356834517
1708-04-15;278.382700415217;279.929694079777;276.835706750658
1708-05-15;278.32254117765;279.829591004327;276.815491350974
1708-06-15;277.58637057004;278.311773144677;276.860967995403
1708-07-15;275.943196373862;275.027103980252;276.859288767472
1708-08-15;274.337162943806;271.963110750124;276.711215137488
1708-09-15;274.293934962895;272.057497705725;276.530372220065
1708-10-15;275.327231418404;274.163111225341;276.491351611467
1708-11-15;276.328067885815;276.038638136655;276.617497634976
1708-12-15;276.96153316016;277.277715048996;276.645351271324
1709-01-15;277.418189434252;278.097409377581;276.738969490923
1709-02-15;277.797565183156;278.749905417242;276.845224949069
1709-03-15;278.136108431654;279.389052086216;276.883164777093
1709-04-15;278.373698298938;279.920691963498;276.826704634378
1709-05-15;278.315356426775;279.822406253452;276.808306600099
1709-06-15;277.581314599089;278.306717173726;276.855912024452
1709-07-15;275.940476098273;275.024383704663;276.856568491883
1709-08-15;274.336880779929;271.962828586247;276.710932973611
1709-09-15;274.296088827996;272.059651570826;276.532526085166
1709-10-15;275.331714730665;274.167594537602;276.495834923728
1709-11-15;276.334669564331;276.045239815171;276.624099313492
1709-12-15;276.969937624944;277.28611951378;276.653755736108
1710-01-15;277.427976606231;278.10719654956;276.748756662902
1710-02-15;277.808210484171;278.760550718257;276.855870250084
1710-03-15;278.14698290271;279.399926557272;276.894039248149
1710-04-15;278.384120316961;279.931113981521;276.837126652402
1710-05-15;278.324729598895;279.831779425572;276.817679772219
1710-06-15;277.589150867423;278.31455344206;276.863748292786
1710-07-15;275.946395739924;275.030303346314;276.862488133534
1710-08-15;274.34061240699;271.966560213308;276.714664600672
1710-09-15;274.297469387546;272.061032130376;276.533906644716
1710-10-15;275.330689504773;274.16656931171;276.494809697836
1710-11-15;276.331292170053;276.041862420893;276.620721919214
1710-12-15;276.964370014323;277.280551903158;276.648188125487
1711-01-15;277.420489066297;278.099709009626;276.741269122968
1711-02-15;277.799181636944;278.75152187103;276.846841402857
1711-03-15;278.136899691631;279.389843346193;276.88395603707
1711-04-15;278.373541191218;279.920534855778;276.826547526658
1711-05-15;278.314159430498;279.821209257175;276.807109603822
1711-06-15;277.579013957032;278.304416531669;276.853611382395
1711-07-15;275.937035816851;275.020943423241;276.853128210461
1711-08-15;274.332292629197;271.958240435515;276.706344822879
1711-09-15;274.290372341646;272.053935084476;276.526809598816
1711-10-15;275.324917206028;274.160797012965;276.489037399091
1711-11-15;276.326866062377;276.037436313217;276.616295811538
1711-12-15;276.961230970281;277.277412859117;276.645049081445
1712-01-15;277.418497387105;278.097717330434;276.739277443776
1712-02-15;277.798117052466;278.750457286552;276.845776818379
1712-03-15;278.136461360385;279.389405014947;276.883517705824
1712-04-15;278.373367910651;279.920361575211;276.826374246092
1712-05-15;278.313919029862;279.820968856539;276.806869203186
1712-06-15;277.57842841763;278.303830992267;276.853025842993
1712-07-15;275.935881278821;275.019788885211;276.851973672431
1712-08-15;274.330399391508;271.956347197826;276.70445158519
1712-09-15;274.287624862103;272.051187604933;276.524062119273
1712-10-15;275.321254101268;274.157133908205;276.485374294331
1712-11-15;276.32228010787;276.03285035871;276.611709857031
1712-12-15;276.955769100331;277.271950989167;276.639587211495
1713-01-15;277.412260694849;278.091480638178;276.73304075152
1713-02-15;277.791260789876;278.743601023962;276.838920555789
1713-03-15;278.129194938264;279.382138592826;276.876251283703
1713-04-15;278.365944738215;279.912938402775;276.818951073656
1713-05-15;278.306577273248;279.813627099925;276.799527446572
1713-06-15;277.571369274071;278.296771848708;276.845966699434
1713-07-15;275.929268932786;275.013176539176;276.845361326396
1713-08-15;274.324361014702;271.95030882102;276.698413208384
1713-09-15;274.282250613466;272.045813356296;276.518687870636
1713-10-15;275.316597126978;274.152476933915;276.480717320041
1713-11-15;276.318356541339;276.028926792179;276.6077862905
1713-12-15;276.952558062207;277.268739951043;276.636376173371
1714-01-15;277.409704293016;278.088924236345;276.730484349687
1714-02-15;277.789264119455;278.741604353541;276.836923885368
1714-03-15;278.12762608161;279.380569736172;276.874682427049
1714-04-15;278.364639321699;279.911632986259;276.81764565714
1714-05-15;278.305373099891;279.812422926568;276.798323273215
1714-06-15;277.570122422945;278.295524997582;276.844719848308
1714-07-15;275.927853858214;275.011761464604;276.843946251824
